symbol,population,level,finite_count,invalid_count,pip_fallback_count,signed_p01,signed_p05,signed_p50,signed_p95,signed_p99,absolute_p50,absolute_p90,absolute_p95,absolute_p99,absolute_max,approximation
eurusdrmp,geometric,1.272,199208203,0,0,-64.774686717,-39.4550766523,2.10565745418,44.4828074338,70.5888301354,14.0087254187,42.1455771073,53.3573546759,78.6350834815,214.07304495,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,geometric,1.618,199208203,0,0,-63.4926964847,-38.3661943131,3.0600794287,45.8368235037,72.1581996431,14.1777577885,42.3990835972,53.6783002322,79.1080750825,221.916081759,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,geometric,0.382,199208203,0,0,-67.1478498229,-41.5599408118,0.275173098564,42.2299104071,67.9580705846,13.897158253,41.8935863469,53.1444577655,78.3213279285,205.683231679,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,geometric,0.5,199208203,0,0,-67.6869165262,-41.9774154132,-0.0518437710139,41.8935863469,67.4168443779,13.897158253,41.9774154132,53.1444577655,78.3213279285,205.272481443,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,geometric,0.618,199208203,0,0,-68.0940546839,-42.3990835972,-0.376622535415,41.476945444,67.0137552985,13.9249664667,41.9774154132,53.1444577655,78.3213279285,206.094803825,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,event_relevant_20,1.272,3022340,0,0,-6.05025306373,-3.92872896891,0.0889402657091,4.04831589395,6.09882483456,1.4202382183,3.98409012281,4.9342566429,6.87599350216,15.0540100417,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,event_relevant_20,1.618,3022340,0,0,-5.49670085606,-3.27529157405,0.93522651003,5.03388493355,7.09947014059,1.6900154567,4.41169069981,5.36641485028,7.3743013522,23.5098986641,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,event_relevant_20,0.382,3022340,0,0,-8.38074831692,-5.97811975264,-1.4811275131,2.84191422518,5.06416385218,1.98309296249,5.01379963217,6.11102858306,8.46493394121,39.062687263,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,event_relevant_20,0.5,3022340,0,0,-9.11476144823,-6.4499225385,-1.73798028659,2.66581499934,4.91456886038,2.15677867885,5.36641485028,6.54081075123,9.15127521906,46.2972599058,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
eurusdrmp,event_relevant_20,0.618,3022340,0,0,-9.93289786802,-6.94506368346,-1.99502130635,2.49065020801,4.76939289257,2.34099202878,5.73235867353,7.00081904412,9.97268909662,53.5711044522,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
