agency	artifact_path	artifact_sha256	source_url	acquisition_status	parse_status	validation_status	collision_status	diagnostic
bea	2019/personal-income-and-outlays-september-2019.html	c5ed57c8201bd61cf63b83fb5ab9e1d8f74c0e0c5eb18938ec15885f29c68ed4	https://www.bea.gov/news/2019/personal-income-and-outlays-september-2019	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=bea,error=bea_release_timezone_contradiction
bea	2025/personal-income-and-outlays-data-update-september-2025.html	f8964a4d16c112c7ea4562cf3ab2a93a4fc464d29dd13ecf3b3f24ea8d9a127e	https://www.bea.gov/news/2025/personal-income-and-outlays-data-update-september-2025	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=bea,error=bea_authoritative_release_time_missing
census	new-residential-construction/2013/newresconst_201309.txt	f7327e5bf5b091c7986adce5646a66e780c35f517621f171f1605a9109d39884	https://www.census.gov/construction/nrc/pdf/newresconst_201309.pdf	succeeded	parsed	validated	duplicate_evidence	economic_event_duplicate_authoritative_artifact_alias
census	new-residential-construction/2015/newresconst_201504.txt	8fec4fbe2230f3ff090c840535e1fd4cdb629f187d18c821c6e1e40068e7e290	https://www.census.gov/construction/nrc/pdf/newresconst_201504.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=census,error=census_release_id_year_mismatch
census	new-residential-sales/2013/newressales_201309.txt	76a1ae64eb7d4d804b09c0936e33aeac201dac166b6dc1673e8d4de898a49be6	https://www.census.gov/construction/nrs/pdf/newressales_201309.pdf	succeeded	parsed	validated	duplicate_evidence	economic_event_duplicate_authoritative_artifact_alias
census	new-residential-sales/2019/newressales_201901.txt	46e5c91f1dac3f56a2ccb93b99c57025b2829f92c8d12102ec12af62a8504a06	https://www.census.gov/construction/nrs/pdf/newressales_201901.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=census,error=census_release_timezone_contradiction
census	manufacturers-orders/2013/aug13prel.txt	3680a0dfd9f0fb50e4761968ad16e98cd7aa059a260383a4704a598497d5dc0b	https://www.census.gov/manufacturing/m3/historical_data/pressreleases/prel/2013/aug13prel.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=census,error=census_authoritative_release_time_missing
dol-eta	2012/010313.asp	fd1cd212d3523cce47ba2a58cb61219c6b7bc078532382251a31131e1bc1d728	https://oui.doleta.gov/press/2012/010313.asp	succeeded	parsed	validated	duplicate_evidence	economic_event_duplicate_authoritative_artifact_alias
dol-eta	2012/080113.asp	1a00fe72ebc09995b484f00b9e9e1f7d4bff7a1f9fedc95677cd0f34482b4722	https://oui.doleta.gov/press/2012/080113.asp	succeeded	parsed	validated	duplicate_evidence	economic_event_duplicate_authoritative_artifact_alias
dol-eta	2014/031514.txt	d47f5a0e6a7ff6512a099115149a1f9afc39f98453c595454cf92f7cd7c0a14c	https://oui.doleta.gov/press/2014/031514.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_weekly_claims_title_missing
federal-reserve	beige-book/beigebook-20100414.txt	c7fb40be200c79a416e6d4561bb3ea0c716a446b9fb66bfc2a3e8096220299f9	https://www.federalreserve.gov/fomc/beigebook/2010/20100414/fullreport20100414.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20100609.txt	a7f43579f740606f613aa484b9b136681c844120a75dcde1431e954597f83f2d	https://www.federalreserve.gov/fomc/beigebook/2010/20100609/fullreport20100609.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20110608.txt	c6c344d06a8c71cbb22317644d19f215659aeefb03f974bc859fd1a5779237e8	https://www.federalreserve.gov/monetarypolicy/beigebook/files/fullreport20110608.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20190116.txt	e1af054c99cc3fd33008e993097e42abb80ef301b1f8f5cfdd2b643d9308b1f9	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20190116.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20200304.txt	d0b7db4230d454eabe4218c459e3c0c992866f0c3b20b972eac08008bf83b31e	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20200304.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
federal-reserve	beige-book/beigebook-20210113.txt	28a6cb9a2cf7f04c069fa77432823838c4fae7feff365540633c3f6de6bea7a2	https://www.federalreserve.gov/monetarypolicy/files/BeigeBook_20210113.pdf	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=federal-reserve,error=federal_reserve_release_timezone_contradiction
