event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,reason
JOLTS,2019-04-09T09:00:00-05:00,2019-04-09,BLS,February 2019,no_pinned_oanda_candidate
JOLTS,2019-05-07T09:00:00-05:00,2019-05-07,BLS,March 2019,no_pinned_oanda_candidate
JOLTS,2019-06-10T09:00:00-05:00,2019-06-10,BLS,April 2019,no_pinned_oanda_candidate
JOLTS,2019-07-09T09:00:00-05:00,2019-07-09,BLS,May 2019,no_pinned_oanda_candidate
JOLTS,2019-08-06T09:00:00-05:00,2019-08-06,BLS,June 2019,no_pinned_oanda_candidate
JOLTS,2019-09-10T09:00:00-05:00,2019-09-10,BLS,July 2019,no_pinned_oanda_candidate
JOLTS,2019-10-09T09:00:00-05:00,2019-10-09,BLS,August 2019,no_pinned_oanda_candidate
JOLTS,2019-11-05T09:00:00-06:00,2019-11-05,BLS,September 2019,no_pinned_oanda_candidate
JOLTS,2019-12-17T09:00:00-06:00,2019-12-17,BLS,October 2019,no_pinned_oanda_candidate
JOLTS,2020-01-17T09:00:00-06:00,2020-01-17,BLS,November 2019,no_pinned_oanda_candidate
JOLTS,2020-02-11T09:00:00-06:00,2020-02-11,BLS,December 2019,no_pinned_oanda_candidate
JOLTS,2020-03-17T09:00:00-05:00,2020-03-17,BLS,January 2020,no_pinned_oanda_candidate
FOMC,2020-03-23T07:00:00-05:00,2020-03-23,FEDERAL_RESERVE,FOMC 2020-03-23,no_pinned_oanda_candidate
JOLTS,2020-04-07T09:00:00-05:00,2020-04-07,BLS,February 2020,no_pinned_oanda_candidate
JOLTS,2020-05-15T09:00:00-05:00,2020-05-15,BLS,March 2020,no_pinned_oanda_candidate
JOLTS,2020-06-09T09:00:00-05:00,2020-06-09,BLS,April 2020,no_pinned_oanda_candidate
JOLTS,2020-07-07T09:00:00-05:00,2020-07-07,BLS,May 2020,no_pinned_oanda_candidate
JOLTS,2020-08-10T09:00:00-05:00,2020-08-10,BLS,June 2020,no_pinned_oanda_candidate
JOLTS,2020-09-09T09:00:00-05:00,2020-09-09,BLS,July 2020,no_pinned_oanda_candidate
JOLTS,2020-10-06T09:00:00-05:00,2020-10-06,BLS,August 2020,no_pinned_oanda_candidate
JOLTS,2020-11-10T09:00:00-06:00,2020-11-10,BLS,September 2020,no_pinned_oanda_candidate
JOLTS,2020-12-09T09:00:00-06:00,2020-12-09,BLS,October 2020,no_pinned_oanda_candidate
JOLTS,2021-01-12T09:00:00-06:00,2021-01-12,BLS,November 2020,no_pinned_oanda_candidate
JOLTS,2021-02-09T09:00:00-06:00,2021-02-09,BLS,December 2020,no_pinned_oanda_candidate
JOLTS,2021-03-11T09:00:00-06:00,2021-03-11,BLS,January 2021,no_pinned_oanda_candidate
JOLTS,2021-04-06T09:00:00-05:00,2021-04-06,BLS,February 2021,no_pinned_oanda_candidate
JOLTS,2021-05-11T09:00:00-05:00,2021-05-11,BLS,March 2021,no_pinned_oanda_candidate
JOLTS,2021-06-08T09:00:00-05:00,2021-06-08,BLS,April 2021,no_pinned_oanda_candidate
JOLTS,2021-07-07T09:00:00-05:00,2021-07-07,BLS,May 2021,no_pinned_oanda_candidate
JOLTS,2021-08-09T09:00:00-05:00,2021-08-09,BLS,June 2021,no_pinned_oanda_candidate
JOLTS,2021-09-08T09:00:00-05:00,2021-09-08,BLS,July 2021,no_pinned_oanda_candidate
JOLTS,2021-10-12T09:00:00-05:00,2021-10-12,BLS,August 2021,no_pinned_oanda_candidate
JOLTS,2021-11-12T09:00:00-06:00,2021-11-12,BLS,September 2021,no_pinned_oanda_candidate
JOLTS,2021-12-08T09:00:00-06:00,2021-12-08,BLS,October 2021,no_pinned_oanda_candidate
JOLTS,2022-01-04T09:00:00-06:00,2022-01-04,BLS,November 2021,no_pinned_oanda_candidate
JOLTS,2022-02-01T09:00:00-06:00,2022-02-01,BLS,December 2021,no_pinned_oanda_candidate
JOLTS,2022-03-09T09:00:00-06:00,2022-03-09,BLS,January 2022,no_pinned_oanda_candidate
JOLTS,2022-03-29T09:00:00-05:00,2022-03-29,BLS,February 2022,no_pinned_oanda_candidate
JOLTS,2022-05-03T09:00:00-05:00,2022-05-03,BLS,March 2022,no_pinned_oanda_candidate
JOLTS,2022-06-01T09:00:00-05:00,2022-06-01,BLS,April 2022,no_pinned_oanda_candidate
JOLTS,2022-07-06T09:00:00-05:00,2022-07-06,BLS,May 2022,no_pinned_oanda_candidate
JOLTS,2022-08-02T09:00:00-05:00,2022-08-02,BLS,June 2022,no_pinned_oanda_candidate
JOLTS,2022-08-30T09:00:00-05:00,2022-08-30,BLS,July 2022,no_pinned_oanda_candidate
JOLTS,2022-10-04T09:00:00-05:00,2022-10-04,BLS,August 2022,no_pinned_oanda_candidate
JOLTS,2022-11-01T09:00:00-05:00,2022-11-01,BLS,September 2022,no_pinned_oanda_candidate
JOLTS,2022-11-30T09:00:00-06:00,2022-11-30,BLS,October 2022,no_pinned_oanda_candidate
JOLTS,2023-01-04T09:00:00-06:00,2023-01-04,BLS,November 2022,no_pinned_oanda_candidate
JOLTS,2023-02-01T09:00:00-06:00,2023-02-01,BLS,December 2022,no_pinned_oanda_candidate
JOLTS,2023-03-08T09:00:00-06:00,2023-03-08,BLS,January 2023,no_pinned_oanda_candidate
JOLTS,2023-04-04T09:00:00-05:00,2023-04-04,BLS,February 2023,no_pinned_oanda_candidate
JOLTS,2023-05-02T09:00:00-05:00,2023-05-02,BLS,March 2023,no_pinned_oanda_candidate
JOLTS,2023-05-31T09:00:00-05:00,2023-05-31,BLS,April 2023,no_pinned_oanda_candidate
JOLTS,2023-07-06T09:00:00-05:00,2023-07-06,BLS,May 2023,no_pinned_oanda_candidate
JOLTS,2023-08-01T09:00:00-05:00,2023-08-01,BLS,June 2023,no_pinned_oanda_candidate
JOLTS,2023-08-29T09:00:00-05:00,2023-08-29,BLS,July 2023,no_pinned_oanda_candidate
JOLTS,2023-10-03T09:00:00-05:00,2023-10-03,BLS,August 2023,no_pinned_oanda_candidate
JOLTS,2023-11-01T09:00:00-05:00,2023-11-01,BLS,September 2023,no_pinned_oanda_candidate
