event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,reason
PPI,2010-07-15T07:30:00-05:00,2010-07-15,BLS,June 2010,no_pinned_oanda_candidate
CPI,2010-07-16T07:30:00-05:00,2010-07-16,BLS,June 2010,no_pinned_oanda_candidate
DURABLE_GOODS,2010-07-28T07:30:00-05:00,2010-07-28,CENSUS,June 2010,no_pinned_oanda_candidate
GDP,2010-07-30T07:30:00-05:00,2010-07-30,BEA,Q2 2010 Advance,no_pinned_oanda_candidate
PCE,2010-08-03T07:30:00-05:00,2010-08-03,BEA,June 2010,no_pinned_oanda_candidate
EMPLOYMENT,2010-08-06T07:30:00-05:00,2010-08-06,BLS,July 2010,no_pinned_oanda_candidate
FOMC,2010-08-10T13:15:00-05:00,2010-08-10,FEDERAL_RESERVE,FOMC 2010-08-10,no_pinned_oanda_candidate
JOLTS,2010-08-11T09:00:00-05:00,2010-08-11,BLS,June 2010,no_pinned_oanda_candidate
CPI,2010-08-13T07:30:00-05:00,2010-08-13,BLS,July 2010,no_pinned_oanda_candidate
RETAIL_SALES,2010-08-13T07:30:00-05:00,2010-08-13,CENSUS,July 2010,no_pinned_oanda_candidate
PPI,2010-08-17T07:30:00-05:00,2010-08-17,BLS,July 2010,no_pinned_oanda_candidate
DURABLE_GOODS,2010-08-25T07:30:00-05:00,2010-08-25,CENSUS,July 2010,no_pinned_oanda_candidate
GDP,2010-08-27T07:30:00-05:00,2010-08-27,BEA,Q2 2010 Second,no_pinned_oanda_candidate
PCE,2010-08-30T07:30:00-05:00,2010-08-30,BEA,July 2010,no_pinned_oanda_candidate
EMPLOYMENT,2010-09-03T07:30:00-05:00,2010-09-03,BLS,August 2010,no_pinned_oanda_candidate
JOLTS,2010-09-08T09:00:00-05:00,2010-09-08,BLS,July 2010,no_pinned_oanda_candidate
RETAIL_SALES,2010-09-14T07:30:00-05:00,2010-09-14,CENSUS,August 2010,no_pinned_oanda_candidate
PPI,2010-09-16T07:30:00-05:00,2010-09-16,BLS,August 2010,no_pinned_oanda_candidate
CPI,2010-09-17T07:30:00-05:00,2010-09-17,BLS,August 2010,no_pinned_oanda_candidate
FOMC,2010-09-21T13:15:00-05:00,2010-09-21,FEDERAL_RESERVE,FOMC 2010-09-21,no_pinned_oanda_candidate
DURABLE_GOODS,2010-09-24T07:30:00-05:00,2010-09-24,CENSUS,August 2010,no_pinned_oanda_candidate
GDP,2010-09-30T07:30:00-05:00,2010-09-30,BEA,Q2 2010 Third,no_pinned_oanda_candidate
PCE,2010-10-01T07:30:00-05:00,2010-10-01,BEA,August 2010,no_pinned_oanda_candidate
JOLTS,2010-10-07T09:00:00-05:00,2010-10-07,BLS,August 2010,no_pinned_oanda_candidate
EMPLOYMENT,2010-10-08T07:30:00-05:00,2010-10-08,BLS,September 2010,no_pinned_oanda_candidate
PPI,2010-10-14T07:30:00-05:00,2010-10-14,BLS,September 2010,no_pinned_oanda_candidate
CPI,2010-10-15T07:30:00-05:00,2010-10-15,BLS,September 2010,no_pinned_oanda_candidate
RETAIL_SALES,2010-10-15T07:30:00-05:00,2010-10-15,CENSUS,September 2010,no_pinned_oanda_candidate
DURABLE_GOODS,2010-10-27T07:30:00-05:00,2010-10-27,CENSUS,September 2010,no_pinned_oanda_candidate
GDP,2010-10-29T07:30:00-05:00,2010-10-29,BEA,Q3 2010 Advance,no_pinned_oanda_candidate
PCE,2010-11-01T07:30:00-05:00,2010-11-01,BEA,September 2010,no_pinned_oanda_candidate
FOMC,2010-11-03T13:15:00-05:00,2010-11-03,FEDERAL_RESERVE,FOMC 2010-11-03,no_pinned_oanda_candidate
EMPLOYMENT,2010-11-05T07:30:00-05:00,2010-11-05,BLS,October 2010,no_pinned_oanda_candidate
JOLTS,2010-11-09T09:00:00-06:00,2010-11-09,BLS,September 2010,no_pinned_oanda_candidate
RETAIL_SALES,2010-11-15T07:30:00-06:00,2010-11-15,CENSUS,October 2010,no_pinned_oanda_candidate
PPI,2010-11-16T07:30:00-06:00,2010-11-16,BLS,October 2010,no_pinned_oanda_candidate
CPI,2010-11-17T07:30:00-06:00,2010-11-17,BLS,October 2010,no_pinned_oanda_candidate
GDP,2010-11-23T07:30:00-06:00,2010-11-23,BEA,Q3 2010 Second,no_pinned_oanda_candidate
DURABLE_GOODS,2010-11-24T07:30:00-06:00,2010-11-24,CENSUS,October 2010,no_pinned_oanda_candidate
PCE,2010-11-24T07:30:00-06:00,2010-11-24,BEA,October 2010,no_pinned_oanda_candidate
EMPLOYMENT,2010-12-03T07:30:00-06:00,2010-12-03,BLS,November 2010,no_pinned_oanda_candidate
JOLTS,2010-12-07T09:00:00-06:00,2010-12-07,BLS,October 2010,no_pinned_oanda_candidate
PPI,2010-12-14T07:30:00-06:00,2010-12-14,BLS,November 2010,no_pinned_oanda_candidate
RETAIL_SALES,2010-12-14T07:30:00-06:00,2010-12-14,CENSUS,November 2010,no_pinned_oanda_candidate
