economic_event_id,event_family,event_timestamp_utc,reference_period,oanda_period,period_status,period_detail,oanda_report_id,oanda_event_id,oanda_event,report_status,event_name_status,forecast_unit_status,forecast_unit_detail,actual_unit_status,actual_unit_detail,previous_unit_status,previous_unit_detail,forecast_raw,actual_raw,previous_raw
644,CPI,2023-02-14T07:30:00-06:00,January 2023,January,compatible_month,month=1,699,118270,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,missing,,consistent,,"0,5% m/m",,"-0,1% m/m"
2579,RETAIL_SALES,2023-02-15T07:30:00-06:00,January 2023,January,compatible_month,month=1,696,118631,Retail Sales,standard_pinned_report,expected_event_name,consistent,,missing,,consistent,,1% m/m,,"-1,1% m/m"
645,PPI,2023-02-16T07:30:00-06:00,January 2023,January,compatible_month,month=1,703,118330,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,4% m/m","0,7% m/m","-0,5% m/m"
1912,GDP,2023-02-23T07:30:00-06:00,Q4 2022 Second,4Q,compatible_quarter,quarter=4,690,117040,GDP (Annualized) - rev..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"2,9%","2,7%","3,2%"
1913,PCE,2023-02-24T07:30:00-06:00,January 2023,January,compatible_month,month=1,694,116909,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"1,2% m/m","1,8% m/m","-0,2% m/m"
2580,DURABLE_GOODS,2023-02-27T07:30:00-06:00,January 2023,January,compatible_month,month=1,59,118687,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-3,9% m/m","-4,5% m/m","5,6% m/m"
647,EMPLOYMENT,2023-03-10T07:30:00-06:00,February 2023,February,compatible_month,month=2,707,118496,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,205 k,311 k,517 k
648,CPI,2023-03-14T07:30:00-05:00,February 2023,February,compatible_month,month=2,699,118275,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,4% m/m","0,4% m/m","0,5% m/m"
649,PPI,2023-03-15T07:30:00-05:00,February 2023,February,compatible_month,month=2,703,118335,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,3% m/m","-0,1% m/m","0,7% m/m"
2581,RETAIL_SALES,2023-03-15T07:30:00-05:00,February 2023,February,compatible_month,month=2,696,118635,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-0,3% m/m","-0,4% m/m",3% m/m
2237,FOMC,2023-03-22T13:00:00-05:00,FOMC 2023-03-22,March,compatible_fomc_month,official_date_month=3,82,116621,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"4,75-5,00%","4,75-5,00%","4,50-4,75%"
2582,DURABLE_GOODS,2023-03-24T07:30:00-05:00,February 2023,February,compatible_month,month=2,59,118688,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,6% m/m",-1% m/m,"-4,5% m/m"
1914,GDP,2023-03-30T07:30:00-05:00,Q4 2022 Third,4Q,compatible_quarter,quarter=4,690,117045,GDP (Annualized) - fin..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"2,7%","2,6%","3,2%"
1915,PCE,2023-03-31T07:30:00-05:00,February 2023,February,compatible_month,month=2,694,116915,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,3% m/m","0,2% m/m","1,8% m/m"
652,EMPLOYMENT,2023-04-07T07:30:00-05:00,March 2023,March,compatible_month,month=3,707,118504,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,240 k,236 k,311 k
653,CPI,2023-04-12T07:30:00-05:00,March 2023,March,compatible_month,month=3,699,118280,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,2% m/m","0,1% m/m","0,4% m/m"
654,PPI,2023-04-13T07:30:00-05:00,March 2023,March,compatible_month,month=3,703,118340,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,0% m/m","-0,5% m/m","-0,1% m/m"
2583,RETAIL_SALES,2023-04-14T07:30:00-05:00,March 2023,March,compatible_month,month=3,696,118639,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-0,4% m/m",-1% m/m,"-0,4% m/m"
2584,DURABLE_GOODS,2023-04-26T07:30:00-05:00,March 2023,March,compatible_month,month=3,59,118689,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,8% m/m","3,2% m/m",-1% m/m
1916,GDP,2023-04-27T07:30:00-05:00,Q1 2023 Advance,1Q,compatible_quarter,quarter=1,690,117050,GDP (Annualized) - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,2%,"1,1%","2,6%"
1917,PCE,2023-04-28T07:30:00-05:00,March 2023,March,compatible_month,month=3,694,116921,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,missing,,consistent,,"-0,1% m/m",,"0,2% m/m"
2238,FOMC,2023-05-03T13:00:00-05:00,FOMC 2023-05-03,May,compatible_fomc_month,official_date_month=5,82,116622,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"5,00-5,25%","5,00-5,25%","4,75-5,00%"
656,EMPLOYMENT,2023-05-05T07:30:00-05:00,April 2023,April,compatible_month,month=4,707,118512,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,180 k,253 k,236 k
657,CPI,2023-05-10T07:30:00-05:00,April 2023,April,compatible_month,month=4,699,118285,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,4% m/m","0,4% m/m","0,1% m/m"
658,PPI,2023-05-11T07:30:00-05:00,April 2023,April,compatible_month,month=4,703,118345,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,3% m/m","0,2% m/m","-0,5% m/m"
2585,RETAIL_SALES,2023-05-16T07:30:00-05:00,April 2023,April,compatible_month,month=4,696,118643,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,8% m/m","0,4% m/m",-1% m/m
1918,GDP,2023-05-25T07:30:00-05:00,Q1 2023 Second,1Q,compatible_quarter,quarter=1,690,117055,GDP (Annualized) - rev..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"1,1%","1,3%","2,6%"
2586,DURABLE_GOODS,2023-05-26T07:30:00-05:00,April 2023,April,compatible_month,month=4,59,118690,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,-1% m/m,"1,1% m/m","3,2% m/m"
1919,PCE,2023-05-26T07:30:00-05:00,April 2023,April,compatible_month,month=4,694,116927,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,missing,,"0,3% m/m","0,8% m/m",
660,EMPLOYMENT,2023-06-02T07:30:00-05:00,May 2023,May,compatible_month,month=5,707,118520,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,190 k,339 k,253 k
661,CPI,2023-06-13T07:30:00-05:00,May 2023,May,compatible_month,month=5,699,118290,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,2% m/m","0,1% m/m","0,4% m/m"
662,PPI,2023-06-14T07:30:00-05:00,May 2023,May,compatible_month,month=5,703,118350,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-0,1% m/m","-0,3% m/m","0,2% m/m"
2239,FOMC,2023-06-14T13:00:00-05:00,FOMC 2023-06-14,June,compatible_fomc_month,official_date_month=6,82,116623,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"5,00-5,25%","5,00-5,25%","5,00-5,25%"
2587,RETAIL_SALES,2023-06-15T07:30:00-05:00,May 2023,May,compatible_month,month=5,696,118647,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-0,1% m/m","0,3% m/m","0,4% m/m"
2588,DURABLE_GOODS,2023-06-27T07:30:00-05:00,May 2023,May,compatible_month,month=5,59,118691,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-1,1% m/m","1,7% m/m","1,1% m/m"
1920,GDP,2023-06-29T07:30:00-05:00,Q1 2023 Third,1Q,compatible_quarter,quarter=1,690,117060,GDP (Annualized) - fin..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"1,4%",2%,"2,6%"
1921,PCE,2023-06-30T07:30:00-05:00,May 2023,May,compatible_month,month=5,694,116933,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,2% m/m","0,1% m/m","0,8% m/m"
664,EMPLOYMENT,2023-07-07T07:30:00-05:00,June 2023,June,compatible_month,month=6,707,118528,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,225 k,209 k,339 k
665,CPI,2023-07-12T07:30:00-05:00,June 2023,June,compatible_month,month=6,699,118295,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,3% m/m","0,2% m/m","0,1% m/m"
666,PPI,2023-07-13T07:30:00-05:00,June 2023,June,compatible_month,month=6,703,118355,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,2% m/m","0,1% m/m","-0,3% m/m"
2589,RETAIL_SALES,2023-07-18T07:30:00-05:00,June 2023,June,compatible_month,month=6,696,118651,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,5% m/m","0,2% m/m","0,3% m/m"
2240,FOMC,2023-07-26T13:00:00-05:00,FOMC 2023-07-26,July,compatible_fomc_month,official_date_month=7,82,116624,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"5,25-5,50%","5,25-5,50%","5,00-5,25%"
2590,DURABLE_GOODS,2023-07-27T07:30:00-05:00,June 2023,June,compatible_month,month=6,59,118692,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,6% m/m","4,7% m/m","1,8% m/m"
1922,GDP,2023-07-27T07:30:00-05:00,Q2 2023 Advance,2Q,compatible_quarter,quarter=2,690,117065,GDP (Annualized) - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"1,7%","2,4%",2%
1923,PCE,2023-07-28T07:30:00-05:00,June 2023,June,compatible_month,month=6,694,116939,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,4% m/m","0,5% m/m","0,1% m/m"
668,EMPLOYMENT,2023-08-04T07:30:00-05:00,July 2023,July,compatible_month,month=7,707,118536,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,200 k,187 k,209 k
669,CPI,2023-08-10T07:30:00-05:00,July 2023,July,compatible_month,month=7,699,118300,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,2% m/m","0,2% m/m","0,2% m/m"
670,PPI,2023-08-11T07:30:00-05:00,July 2023,July,compatible_month,month=7,703,118360,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,2% m/m","0,3% m/m","0,1% m/m"
2591,RETAIL_SALES,2023-08-15T07:30:00-05:00,July 2023,July,compatible_month,month=7,696,118655,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,4% m/m","0,7% m/m","0,2% m/m"
2592,DURABLE_GOODS,2023-08-24T07:30:00-05:00,July 2023,July,compatible_month,month=7,59,118693,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-4,1% m/m","-5,2% m/m","4,6% m/m"
1924,GDP,2023-08-30T07:30:00-05:00,Q2 2023 Second,2Q,compatible_quarter,quarter=2,690,117070,GDP (Annualized) - rev..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"2,4%","2,1%",2%
1925,PCE,2023-08-31T07:30:00-05:00,July 2023,July,compatible_month,month=7,694,116945,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,6% m/m","0,8% m/m","0,5% m/m"
672,EMPLOYMENT,2023-09-01T07:30:00-05:00,August 2023,August,compatible_month,month=8,707,118544,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,170 k,187 k,187 k
673,CPI,2023-09-13T07:30:00-05:00,August 2023,August,compatible_month,month=8,699,118305,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,6% m/m","0,6% m/m","0,2% m/m"
674,PPI,2023-09-14T07:30:00-05:00,August 2023,August,compatible_month,month=8,703,118365,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,4% m/m","0,7% m/m","0,3% m/m"
2593,RETAIL_SALES,2023-09-14T07:30:00-05:00,August 2023,August,compatible_month,month=8,696,118659,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,2% m/m","0,6% m/m","0,7% m/m"
2241,FOMC,2023-09-20T13:00:00-05:00,FOMC 2023-09-20,September,compatible_fomc_month,official_date_month=9,82,116625,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"5,25-5,50%","5,25-5,50%","5,25-5,50%"
2594,DURABLE_GOODS,2023-09-27T07:30:00-05:00,August 2023,August,compatible_month,month=8,59,118694,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-0,5% m/m","0,2% m/m","-5,2% m/m"
1926,GDP,2023-09-28T07:30:00-05:00,Q2 2023 Third,2Q,compatible_quarter,quarter=2,690,117075,GDP (Annualized) - fin..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"2,1%","2,1%",2%
1927,PCE,2023-09-29T07:30:00-05:00,August 2023,August,compatible_month,month=8,694,116951,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,5% m/m","0,4% m/m","0,8% m/m"
676,EMPLOYMENT,2023-10-06T07:30:00-05:00,September 2023,September,compatible_month,month=9,707,118552,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,170 k,336 k,187 k
