event_family,official_event_timestamp_utc,official_release_date,official_source_agency,original_unmatched_reason,classification,detail,cached_file,cached_file_exists,cached_total_rows,cached_us_rows,expected_pinned_report_ids,same_day_us_report_ids,same_day_us_event_names,pinned_report_rows,accepted_candidate_rows,rejected_pinned_rows,pinned_row_detail
JOLTS,2010-02-09T09:00:00-06:00,2010-02-09,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-02-09.json,1,0,0,1371,,,0,0,0,
RETAIL_SALES,2010-02-12T07:30:00-06:00,2010-02-12,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-02-12.json,1,0,0,696,,,0,0,0,
PPI,2010-02-18T07:30:00-06:00,2010-02-18,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-02-18.json,1,0,0,703,,,0,0,0,
CPI,2010-02-19T07:30:00-06:00,2010-02-19,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-02-19.json,1,0,0,699,,,0,0,0,
DURABLE_GOODS,2010-02-25T07:30:00-06:00,2010-02-25,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-02-25.json,1,0,0,59,,,0,0,0,
GDP,2010-02-26T07:30:00-06:00,2010-02-26,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-02-26.json,1,0,0,690,,,0,0,0,
PCE,2010-03-01T07:30:00-06:00,2010-03-01,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-01.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2010-03-05T07:30:00-06:00,2010-03-05,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-05.json,1,0,0,707,,,0,0,0,
JOLTS,2010-03-09T09:00:00-06:00,2010-03-09,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-09.json,1,0,0,1371,,,0,0,0,
RETAIL_SALES,2010-03-12T07:30:00-06:00,2010-03-12,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-12.json,1,0,0,696,,,0,0,0,
FOMC,2010-03-16T13:15:00-05:00,2010-03-16,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-16.json,1,0,0,82,,,0,0,0,
PPI,2010-03-17T07:30:00-05:00,2010-03-17,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-17.json,1,0,0,703,,,0,0,0,
CPI,2010-03-18T07:30:00-05:00,2010-03-18,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-18.json,1,0,0,699,,,0,0,0,
DURABLE_GOODS,2010-03-24T07:30:00-05:00,2010-03-24,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-24.json,1,0,0,59,,,0,0,0,
GDP,2010-03-26T07:30:00-05:00,2010-03-26,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-26.json,1,0,0,690,,,0,0,0,
PCE,2010-03-29T07:30:00-05:00,2010-03-29,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-03-29.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2010-04-02T07:30:00-05:00,2010-04-02,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-04-02.json,1,0,0,707,,,0,0,0,
JOLTS,2010-04-06T09:00:00-05:00,2010-04-06,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-04-06.json,1,0,0,1371,,,0,0,0,
CPI,2010-04-14T07:30:00-05:00,2010-04-14,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-04-14.json,1,0,0,699,,,0,0,0,
RETAIL_SALES,2010-04-14T07:30:00-05:00,2010-04-14,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-04-14.json,1,0,0,696,,,0,0,0,
PPI,2010-04-22T07:30:00-05:00,2010-04-22,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-04-22.json,1,0,0,703,,,0,0,0,
DURABLE_GOODS,2010-04-23T07:30:00-05:00,2010-04-23,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-04-23.json,1,0,0,59,,,0,0,0,
FOMC,2010-04-28T13:15:00-05:00,2010-04-28,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-04-28.json,1,0,0,82,,,0,0,0,
GDP,2010-04-30T07:30:00-05:00,2010-04-30,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-04-30.json,1,0,0,690,,,0,0,0,
PCE,2010-05-03T07:30:00-05:00,2010-05-03,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-03.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2010-05-07T07:30:00-05:00,2010-05-07,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-07.json,1,0,0,707,,,0,0,0,
FOMC,2010-05-09T20:15:00-05:00,2010-05-09,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-09.json,1,0,0,82,,,0,0,0,
JOLTS,2010-05-11T09:00:00-05:00,2010-05-11,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-11.json,1,0,0,1371,,,0,0,0,
RETAIL_SALES,2010-05-14T07:30:00-05:00,2010-05-14,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-14.json,1,0,0,696,,,0,0,0,
PPI,2010-05-18T07:30:00-05:00,2010-05-18,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-18.json,1,0,0,703,,,0,0,0,
CPI,2010-05-19T07:30:00-05:00,2010-05-19,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-19.json,1,0,0,699,,,0,0,0,
DURABLE_GOODS,2010-05-26T07:30:00-05:00,2010-05-26,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-26.json,1,0,0,59,,,0,0,0,
GDP,2010-05-27T07:30:00-05:00,2010-05-27,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-27.json,1,0,0,690,,,0,0,0,
PCE,2010-05-28T07:30:00-05:00,2010-05-28,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-05-28.json,1,0,0,694,,,0,0,0,
EMPLOYMENT,2010-06-04T07:30:00-05:00,2010-06-04,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-06-04.json,1,0,0,707,,,0,0,0,
JOLTS,2010-06-08T09:00:00-05:00,2010-06-08,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-06-08.json,1,0,0,1371,,,0,0,0,
RETAIL_SALES,2010-06-11T07:30:00-05:00,2010-06-11,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-06-11.json,1,0,0,696,,,0,0,0,
PPI,2010-06-16T07:30:00-05:00,2010-06-16,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-06-16.json,1,0,0,703,,,0,0,0,
