event_family,myfxbook_source_family,myfxbook_event_id,release_date,myfxbook_actual,myfxbook_consensus,consensus_present,family_date_observation_count,classification,automatic_candidate_eligible,automatic_exclusion_reason,source,source_endpoint,source_years_back,source_capture_extracted_at,source_capture_filename,source_capture_sha256,source_series_ordinal,source_observation_ordinal
CPI,CPI_MOM,-265326876,2014-10-22,0.1,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,20
CPI,CPI_MOM,-265326876,2014-11-20,0.0,-0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,21
CPI,CPI_MOM,-265326876,2014-12-17,-0.3,-0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,22
CPI,CPI_MOM,-265326876,2015-01-16,-0.4,-0.4,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,23
CPI,CPI_MOM,-265326876,2015-02-26,-0.7,-0.6,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,24
CPI,CPI_MOM,-265326876,2015-03-24,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,25
CPI,CPI_MOM,-265326876,2015-04-17,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,26
CPI,CPI_MOM,-265326876,2015-05-22,0.1,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,27
CPI,CPI_MOM,-265326876,2015-06-18,0.4,0.5,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,28
CPI,CPI_MOM,-265326876,2015-07-17,0.3,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,29
CPI,CPI_MOM,-265326876,2015-08-19,0.1,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,30
CPI,CPI_MOM,-265326876,2015-09-16,-0.1,0.0,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,31
CPI,CPI_MOM,-265326876,2015-10-15,-0.2,-0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,32
CPI,CPI_MOM,-265326876,2015-11-17,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,33
CPI,CPI_MOM,-265326876,2015-12-15,0.0,0.0,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,34
CPI,CPI_MOM,-265326876,2016-01-20,-0.1,0.0,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,35
CPI,CPI_MOM,-265326876,2016-02-19,0.0,-0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,36
CPI,CPI_MOM,-265326876,2016-03-16,-0.2,-0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,37
CPI,CPI_MOM,-265326876,2016-04-14,0.1,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,38
