version	acl_tuple_key	object_class	object_identity	grantee	privilege	grant_option	requirement_id
h1-explicit-acl-v1	sequence:public.campaign_operations_dispatch__dispatch_audit_reference_even_seq:campaign_operations_recovery:USAGE:false	sequence	public.campaign_operations_dispatch__dispatch_audit_reference_even_seq	campaign_operations_recovery	USAGE	false	H1-ACL-SEQUENCES
h1-explicit-acl-v1	function:public.campaign_operations_scheduler_protocol_evidence_lock_v1():campaign_operations_scheduler_protocol_evidence_reader:EXECUTE:false	function	public.campaign_operations_scheduler_protocol_evidence_lock_v1()	campaign_operations_scheduler_protocol_evidence_reader	EXECUTE	false	H1-ACL-SCHEDULER-EVIDENCE
h1-explicit-acl-v1	function:public.campaign_operations_scheduler_protocol_evidence_snapshot_v1():campaign_operations_scheduler_protocol_evidence_reader:EXECUTE:false	function	public.campaign_operations_scheduler_protocol_evidence_snapshot_v1()	campaign_operations_scheduler_protocol_evidence_reader	EXECUTE	false	H1-ACL-SCHEDULER-EVIDENCE
h1-explicit-acl-v1	function:public.campaign_operations_scheduler_protocol_evidence_snapshot_v1():campaign_operations_owner:EXECUTE:false	function	public.campaign_operations_scheduler_protocol_evidence_snapshot_v1()	campaign_operations_owner	EXECUTE	false	H1-ACL-SCHEDULER-EVIDENCE
h1-explicit-acl-v1	function:public.campaign_operations_tagged_fnv1a64(text):campaign_operations_owner:EXECUTE:false	function	public.campaign_operations_tagged_fnv1a64(text)	campaign_operations_owner	EXECUTE	false	H1-ACL-CANONICAL
h1-explicit-acl-v1	function:public.lock_campaign_operations_authorization_head(bigint,text):campaign_operations_owner:EXECUTE:false	function	public.lock_campaign_operations_authorization_head(bigint,text)	campaign_operations_owner	EXECUTE	false	H1-ACL-LOCK-1
h1-explicit-acl-v1	function:public.lock_campaign_operations_authorization_head(bigint,text):campaign_operations_completion_writer:EXECUTE:false	function	public.lock_campaign_operations_authorization_head(bigint,text)	campaign_operations_completion_writer	EXECUTE	false	H1-ACL-LOCK-1
h1-explicit-acl-v1	function:public.lock_campaign_operations_budget_head(bigint):campaign_operations_owner:EXECUTE:false	function	public.lock_campaign_operations_budget_head(bigint)	campaign_operations_owner	EXECUTE	false	H1-ACL-LOCK-2
h1-explicit-acl-v1	function:public.lock_campaign_operations_budget_head(bigint):campaign_operations_cancellation_coordinator:EXECUTE:false	function	public.lock_campaign_operations_budget_head(bigint)	campaign_operations_cancellation_coordinator	EXECUTE	false	H1-ACL-LOCK-2
h1-explicit-acl-v1	function:public.lock_campaign_operations_budget_head(bigint):campaign_operations_completion_writer:EXECUTE:false	function	public.lock_campaign_operations_budget_head(bigint)	campaign_operations_completion_writer	EXECUTE	false	H1-ACL-LOCK-2
h1-explicit-acl-v1	function:public.lock_campaign_operations_campaign(bigint):campaign_operations_owner:EXECUTE:false	function	public.lock_campaign_operations_campaign(bigint)	campaign_operations_owner	EXECUTE	false	H1-ACL-LOCK-3
h1-explicit-acl-v1	function:public.lock_campaign_operations_campaign(bigint):campaign_operations_cancellation_coordinator:EXECUTE:false	function	public.lock_campaign_operations_campaign(bigint)	campaign_operations_cancellation_coordinator	EXECUTE	false	H1-ACL-LOCK-3
h1-explicit-acl-v1	function:public.lock_campaign_operations_campaign(bigint):campaign_operations_completion_writer:EXECUTE:false	function	public.lock_campaign_operations_campaign(bigint)	campaign_operations_completion_writer	EXECUTE	false	H1-ACL-LOCK-3
h1-explicit-acl-v1	function:public.lock_campaign_operations_campaign(bigint):campaign_operations_controller:EXECUTE:false	function	public.lock_campaign_operations_campaign(bigint)	campaign_operations_controller	EXECUTE	false	H1-ACL-LOCK-3
h1-explicit-acl-v1	function:public.lock_campaign_operations_campaign(bigint):campaign_operations_reconciler:EXECUTE:false	function	public.lock_campaign_operations_campaign(bigint)	campaign_operations_reconciler	EXECUTE	false	H1-ACL-LOCK-3
h1-explicit-acl-v1	function:public.lock_campaign_operations_campaign(bigint):campaign_operations_recovery:EXECUTE:false	function	public.lock_campaign_operations_campaign(bigint)	campaign_operations_recovery	EXECUTE	false	H1-ACL-LOCK-3
h1-explicit-acl-v1	function:public.lock_campaign_operations_reservation(bigint):campaign_operations_owner:EXECUTE:false	function	public.lock_campaign_operations_reservation(bigint)	campaign_operations_owner	EXECUTE	false	H1-ACL-LOCK-4
h1-explicit-acl-v1	function:public.lock_campaign_operations_reservation(bigint):campaign_operations_cancellation_coordinator:EXECUTE:false	function	public.lock_campaign_operations_reservation(bigint)	campaign_operations_cancellation_coordinator	EXECUTE	false	H1-ACL-LOCK-4
h1-explicit-acl-v1	function:public.lock_campaign_operations_reservation(bigint):campaign_operations_completion_writer:EXECUTE:false	function	public.lock_campaign_operations_reservation(bigint)	campaign_operations_completion_writer	EXECUTE	false	H1-ACL-LOCK-4
h1-explicit-acl-v1	function:public.lock_campaign_operations_reservation(bigint):campaign_operations_recovery:EXECUTE:false	function	public.lock_campaign_operations_reservation(bigint)	campaign_operations_recovery	EXECUTE	false	H1-ACL-LOCK-4
h1-explicit-acl-v1	function:public.lock_campaign_operations_request(bigint):campaign_operations_owner:EXECUTE:false	function	public.lock_campaign_operations_request(bigint)	campaign_operations_owner	EXECUTE	false	H1-ACL-LOCK-5
h1-explicit-acl-v1	function:public.lock_campaign_operations_request(bigint):campaign_operations_cancellation_coordinator:EXECUTE:false	function	public.lock_campaign_operations_request(bigint)	campaign_operations_cancellation_coordinator	EXECUTE	false	H1-ACL-LOCK-5
h1-explicit-acl-v1	function:public.lock_campaign_operations_request(bigint):campaign_operations_completion_writer:EXECUTE:false	function	public.lock_campaign_operations_request(bigint)	campaign_operations_completion_writer	EXECUTE	false	H1-ACL-LOCK-5
h1-explicit-acl-v1	function:public.lock_campaign_operations_request(bigint):campaign_operations_reconciler:EXECUTE:false	function	public.lock_campaign_operations_request(bigint)	campaign_operations_reconciler	EXECUTE	false	H1-ACL-LOCK-5
h1-explicit-acl-v1	function:public.lock_campaign_operations_request(bigint):campaign_operations_recovery:EXECUTE:false	function	public.lock_campaign_operations_request(bigint)	campaign_operations_recovery	EXECUTE	false	H1-ACL-LOCK-5
