version	acl_tuple_key	object_class	object_identity	grantee	privilege	grant_option	requirement_id
h2-explicit-acl-v1	function:public.record_campaign_operations_production_enable_v1(text,integer,text,text,text,text,text,text,text,text,text):campaign_operations_production_enabler:EXECUTE:false	function	public.record_campaign_operations_production_enable_v1(text,integer,text,text,text,text,text,text,text,text,text)	campaign_operations_production_enabler	EXECUTE	false	H2-ACL-ENABLE
h2-explicit-acl-v1	function:public.record_campaign_operations_production_disable_v1(text,bigint,text,integer,text,text):campaign_operations_production_disabler:EXECUTE:false	function	public.record_campaign_operations_production_disable_v1(text,bigint,text,integer,text,text)	campaign_operations_production_disabler	EXECUTE	false	H2-ACL-DISABLE
h2-explicit-acl-v1	function:public.transition_campaign_operations_request_dispatch_production_v2(bigint,integer,text,timestamp with time zone,text,text,text):campaign_operations_production_dispatcher:EXECUTE:false	function	public.transition_campaign_operations_request_dispatch_production_v2(bigint,integer,text,timestamp with time zone,text,text,text)	campaign_operations_production_dispatcher	EXECUTE	false	H2-ACL-ACQUISITION
h2-explicit-acl-v1	function:public.campaign_operations_scheduler_protocol_evidence_lock_v1():campaign_operations_production_phase5_transactional:EXECUTE:false	function	public.campaign_operations_scheduler_protocol_evidence_lock_v1()	campaign_operations_production_phase5_transactional	EXECUTE	false	H2-ACL-PHASE5-SCHEDULER
h2-explicit-acl-v1	table:public.campaign_operations_production_enablement_event:campaign_operations_production_dispatcher:SELECT:false	table	public.campaign_operations_production_enablement_event	campaign_operations_production_dispatcher	SELECT	false	H2-ACL-EVIDENCE-READ
h2-explicit-acl-v1	table:public.campaign_operations_production_enablement_event:campaign_operations_production_phase5_transactional:SELECT:false	table	public.campaign_operations_production_enablement_event	campaign_operations_production_phase5_transactional	SELECT	false	H2-ACL-EVIDENCE-READ
h2-explicit-acl-v1	table:public.campaign_operations_production_enablement_audit_reference_event:campaign_operations_production_dispatcher:SELECT:false	table	public.campaign_operations_production_enablement_audit_reference_event	campaign_operations_production_dispatcher	SELECT	false	H2-ACL-EVIDENCE-READ
h2-explicit-acl-v1	table:public.campaign_operations_production_enablement_audit_reference_event:campaign_operations_production_phase5_transactional:SELECT:false	table	public.campaign_operations_production_enablement_audit_reference_event	campaign_operations_production_phase5_transactional	SELECT	false	H2-ACL-EVIDENCE-READ
h2-explicit-acl-v1	table:public.campaign_operations_request_production_admission:campaign_operations_production_dispatcher:SELECT:false	table	public.campaign_operations_request_production_admission	campaign_operations_production_dispatcher	SELECT	false	H2-ACL-EVIDENCE-READ
h2-explicit-acl-v1	table:public.campaign_operations_request_production_admission:campaign_operations_production_phase5_transactional:SELECT:false	table	public.campaign_operations_request_production_admission	campaign_operations_production_phase5_transactional	SELECT	false	H2-ACL-EVIDENCE-READ
h2-explicit-acl-v1	function:public.campaign_operations_production_readiness_snapshot_v1():campaign_operations_h1_boundary_authority:EXECUTE:false	function	public.campaign_operations_production_readiness_snapshot_v1()	campaign_operations_h1_boundary_authority	EXECUTE	false	H2-ACL-READINESS-WRAPPER
h2-explicit-acl-v1	function:public.campaign_operations_production_readiness_snapshot_v1():campaign_operations_production_reader:EXECUTE:false	function	public.campaign_operations_production_readiness_snapshot_v1()	campaign_operations_production_reader	EXECUTE	false	H2-ACL-READINESS-WRAPPER
